State Name,County,Census_Tract,Population,Median Age,Median Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Time spent commuting (minutes),"Number of Employed, age 16+",Unemployment Count,Number of persons age 25+ graduated high school
 Maryland, Baltimore city, 802,1164.0,40.7,36375.0,16501.0,240.0,20.6,8.7,,363.0,101.0,257.0
 Maryland, Baltimore city, 1207,2207.0,34.5,65365.0,35817.0,202.0,9.2,6.4,,1349.0,141.0,546.0
 Maryland, Baltimore city, 1304,2171.0,39.9,28550.0,20855.0,700.0,32.2,4.3,,752.0,94.0,585.0
 Maryland, Baltimore city, 1307,4734.0,39.0,72404.0,50102.0,369.0,7.8,1.5,,2787.0,70.0,642.0
 Maryland, Baltimore city, 1403,1932.0,37.6,37917.0,28251.0,412.0,21.3,2.4,,914.0,47.0,334.0
 Maryland, Baltimore city, 1701,1594.0,34.4,31088.0,26352.0,352.0,22.1,1.5,,876.0,24.0,155.0
 Maryland, Baltimore city, 1802,947.0,44.6,25398.0,20478.0,307.0,32.4,4.6,,367.0,44.0,152.0
 Maryland, Baltimore city, 1903,2158.0,30.0,17925.0,11154.0,1149.0,53.2,9.0,,511.0,195.0,365.0
 Maryland, Baltimore city, 2501.02,2732.0,35.1,50354.0,25214.0,346.0,12.7,2.3,,1660.0,64.0,355.0
 Maryland, Baltimore city, 2503.01,2303.0,28.0,26581.0,16952.0,948.0,41.2,6.1,,555.0,141.0,408.0
 Maryland, Baltimore city, 2504.01,3959.0,35.3,47321.0,19888.0,937.0,23.7,4.8,,1520.0,189.0,921.0
 Maryland, Baltimore city, 807,604.0,44.2,39851.0,25680.0,90.0,14.9,5.3,,284.0,32.0,156.0
 Maryland, Baltimore city, 1308.05,1017.0,57.3,51750.0,34163.0,179.0,17.6,5.8,,444.0,59.0,167.0
 Maryland, Baltimore city, 2101,2470.0,32.2,72216.0,36449.0,408.0,16.5,4.7,,1639.0,116.0,232.0
 Maryland, Baltimore city, 2707.01,2106.0,31.9,36824.0,26693.0,374.0,17.8,6.6,,1324.0,140.0,492.0
 Maryland, Baltimore city, 806,1932.0,43.3,34449.0,18553.0,567.0,29.3,5.3,,699.0,102.0,482.0
 Maryland, Baltimore city, 904,1520.0,36.1,32276.0,16274.0,547.0,36.0,2.8,,643.0,43.0,298.0
 Maryland, Baltimore city, 907,2950.0,41.5,27174.0,16021.0,728.0,24.7,8.3,,1003.0,245.0,924.0
 Maryland, Baltimore city, 1203,4153.0,33.3,56750.0,33409.0,822.0,19.8,3.3,,2433.0,139.0,337.0
 Maryland, Baltimore city, 1206,2814.0,39.6,31285.0,26322.0,807.0,28.7,3.9,,1384.0,111.0,330.0
 Maryland, Baltimore city, 1402,2906.0,25.8,23295.0,13362.0,1713.0,58.9,4.3,,896.0,125.0,664.0
 Maryland, Baltimore city, 1502,2330.0,35.9,32273.0,17732.0,906.0,38.9,5.8,,664.0,134.0,654.0
 Maryland, Baltimore city, 1506,2726.0,37.0,27109.0,18155.0,1128.0,41.4,14.2,,1043.0,388.0,485.0
 Maryland, Baltimore city, 1605,3934.0,37.4,36577.0,17203.0,1131.0,28.7,5.3,,1297.0,208.0,866.0
 Maryland, Baltimore city, 1510,4794.0,42.9,43257.0,25722.0,1049.0,21.9,7.1,,2015.0,341.0,991.0
 Maryland, Baltimore city, 1512,4113.0,51.3,20717.0,16177.0,1531.0,37.2,6.1,,1184.0,249.0,1105.0
 Maryland, Baltimore city, 1601,1936.0,45.9,29375.0,19358.0,558.0,28.8,3.9,,781.0,75.0,349.0
 Maryland, Baltimore city, 2102,3529.0,33.6,45909.0,29591.0,1139.0,32.3,4.4,,1627.0,154.0,503.0
 Maryland, Baltimore city, 2403,1977.0,31.4,128900.0,81080.0,92.0,4.7,0.7,,1548.0,13.0,62.0
 Maryland, Baltimore city, 2602.03,3070.0,34.7,53194.0,23785.0,927.0,30.2,3.1,,1423.0,95.0,827.0
 Maryland, Baltimore city, 2606.04,1492.0,21.9,27778.0,12490.0,646.0,43.3,4.6,,333.0,68.0,222.0
 Maryland, Baltimore city, 2702,1870.0,42.0,77792.0,37507.0,131.0,7.0,1.9,23955.0,1147.0,35.0,230.0
 Maryland, Baltimore city, 401,5051.0,30.0,64016.0,50026.0,626.0,12.4,1.9,,3496.0,98.0,188.0
 Maryland, Baltimore city, 402,984.0,23.8,43417.0,19148.0,93.0,9.5,1.7,,440.0,17.0,45.0
 Maryland, Baltimore city, 602,3037.0,32.5,69034.0,40668.0,1026.0,33.8,5.1,,1516.0,155.0,405.0
 Maryland, Baltimore city, 905,1747.0,40.3,44229.0,22614.0,362.0,20.7,4.8,9550.0,774.0,84.0,525.0
 Maryland, Baltimore city, 908,2709.0,44.2,30972.0,14907.0,957.0,35.3,9.3,,736.0,252.0,511.0
 Maryland, Baltimore city, 1201,4787.0,39.0,64794.0,64601.0,943.0,19.7,4.6,,2164.0,218.0,245.0
 Maryland, Baltimore city, 1507.01,1599.0,45.4,49531.0,31161.0,332.0,20.8,1.3,,873.0,20.0,382.0
 Maryland, Baltimore city, 1503,2079.0,38.7,41833.0,25474.0,405.0,19.5,3.0,13650.0,935.0,62.0,569.0
 Maryland, Baltimore city, 1507.02,2139.0,41.0,50167.0,27345.0,478.0,22.3,5.7,,856.0,121.0,479.0
 Maryland, Baltimore city, 1511,7440.0,37.5,52334.0,29719.0,1339.0,18.0,6.0,,3224.0,449.0,1168.0
 Maryland, Baltimore city, 1513,4379.0,40.7,31885.0,15605.0,1227.0,28.0,5.9,,1687.0,257.0,959.0
 Maryland, Baltimore city, 1901,2305.0,35.1,25190.0,17233.0,1113.0,48.3,6.2,,684.0,142.0,428.0
 Maryland, Baltimore city, 1902,1538.0,43.3,43878.0,28454.0,317.0,20.6,4.0,,665.0,61.0,133.0
 Maryland, Baltimore city, 2201,4447.0,33.1,80129.0,67973.0,539.0,12.1,1.9,,2762.0,83.0,255.0
 Maryland, Baltimore city, 2303,1408.0,30.7,104250.0,61852.0,117.0,8.3,1.1,,1161.0,15.0,91.0
 Maryland, Baltimore city, 2502.07,2337.0,32.5,38194.0,20012.0,691.0,29.6,4.5,,916.0,106.0,512.0
 Maryland, Baltimore city, 2503.03,2229.0,37.0,38519.0,24608.0,568.0,25.5,6.7,,935.0,149.0,425.0
 Maryland, Baltimore city, 2602.02,5681.0,31.8,41538.0,25897.0,914.0,16.1,5.5,,2801.0,312.0,1197.0
