Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Labor force status by presence of computer/ internet in HH
Hampden,270805,24510270805,"5,312",$54139.00,$27431.00,643,1210.00%,740.00%,2302.0,393.0,1017.0,591.0,38.5,565.0,4425.0,160.0,187.0,78.0,3770.0,1370.0,464.0,1264.0,3227.0,821.0,4132.0
Pigtown,270901,24510270901,"4,348",$52803.00,$28756.00,323,740.00%,420.00%,2258.0,181.0,1107.0,194.0,34.4,121.0,4090.0,137.0,130.0,0.0,2458.0,881.0,815.0,835.0,2786.0,727.0,3535.0
Belair Rd,270902,24510270902,"5,363",$57356.00,$19651.00,435,810.00%,590.00%,2149.0,319.0,972.0,472.0,26.7,264.0,4790.0,169.0,92.0,37.0,3145.0,1217.0,208.0,769.0,3663.0,931.0,3240.0
Penn Ave,270903,24510270903,"4,810",$48611.00,$18188.00,434,900.00%,330.00%,1677.0,160.0,385.0,369.0,22.3,939.0,3510.0,218.0,518.0,100.0,1435.0,681.0,537.0,506.0,3902.0,402.0,2265.0
Hamilton Lauraville,271002,24510271002,"4,203",$37232.00,$20695.00,"1,501",3570.00%,660.00%,1395.0,279.0,753.0,386.0,37.8,137.0,3984.0,76.0,97.0,0.0,2741.0,1050.0,464.0,1196.0,2223.0,784.0,3014.0
Highlandtown,271101,24510271101,"2,001",$55820.00,$38391.00,394,1970.00%,340.00%,998.0,69.0,243.0,331.0,38.7,1056.0,643.0,66.0,22.0,203.0,933.0,366.0,511.0,327.0,1401.0,273.0,1623.0
Hampden,271102,24510271102,"4,505",$213200.00,$32299.00,34,80.00%,100.00%,1267.0,43.0,73.0,245.0,20.7,2883.0,929.0,325.0,204.0,264.0,1156.0,442.0,0.0,260.0,3984.0,261.0,910.0
E Monument St,271200,24510271200,"6,434",$148788.00,$70976.00,308,480.00%,140.00%,3281.0,90.0,453.0,1179.0,41.1,5104.0,841.0,112.0,109.0,377.0,5382.0,1839.0,359.0,1662.0,3800.0,972.0,4733.0
Greektown,271300,24510271300,"2,575",$154432.00,$92510.00,54,210.00%,40.00%,1470.0,11.0,45.0,660.0,42.8,2233.0,156.0,30.0,70.0,130.0,1923.0,727.0,334.0,577.0,1481.0,517.0,2009.0
Hamilton Lauraville,271400,24510271400,"4,040",$122344.00,$66979.00,257,640.00%,160.00%,1911.0,66.0,149.0,575.0,37.2,3147.0,268.0,166.0,286.0,365.0,2583.0,978.0,446.0,870.0,2453.0,717.0,2779.0
