Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Highlandtown,260900,24510260900,"3,359",$109618.00,$64704.00,335,1000.00%,70.00%,2624.0,25.0,233.0,1163.0,31.2,2999.0,177.0,113.0,225.0,61.0,1402.0,634.0,1005.0,374.0,2784.0,201.0
Highlandtown,261000,24510261000,"2,824",$55221.00,$26904.00,"1,077",3810.00%,290.00%,1305.0,82.0,410.0,190.0,33.8,1265.0,1245.0,192.0,621.0,45.0,1625.0,540.0,441.0,872.0,1656.0,296.0
Highlandtown,261100,24510261100,"1,813",$133152.00,$70157.00,123,680.00%,410.00%,1399.0,75.0,140.0,668.0,32.1,1578.0,108.0,52.0,70.0,64.0,1233.0,607.0,257.0,162.0,1550.0,101.0
Hamilton Lauraville,270200,24510270200,"1,870",$77792.00,$37507.00,131,700.00%,190.00%,1147.0,35.0,230.0,348.0,42.0,970.0,864.0,17.0,94.0,0.0,1598.0,551.0,162.0,382.0,1249.0,239.0
Hamilton Lauraville,270301,24510270301,"3,074",$77977.00,$34343.00,169,550.00%,140.00%,1554.0,42.0,477.0,547.0,44.6,1227.0,1665.0,63.0,134.0,74.0,2239.0,955.0,192.0,620.0,1908.0,546.0
Hamilton Lauraville,270302,24510270302,"1,887",$71500.00,$36091.00,303,1610.00%,330.00%,904.0,63.0,416.0,142.0,45.4,918.0,861.0,47.0,135.0,9.0,1474.0,516.0,178.0,316.0,1242.0,329.0
Hamilton Lauraville,270401,24510270401,"4,892",$59886.00,$30636.00,453,930.00%,150.00%,2464.0,73.0,1098.0,587.0,38.9,1659.0,2890.0,343.0,52.0,0.0,3649.0,1449.0,471.0,1168.0,3177.0,547.0
Hamilton Lauraville,270402,24510270402,"3,792",$83160.00,$28919.00,198,520.00%,280.00%,1733.0,105.0,388.0,539.0,35.9,1192.0,2345.0,138.0,99.0,63.0,3281.0,980.0,214.0,1135.0,2227.0,430.0
Waverly,270502,24510270502,"4,229",$75197.00,$42730.00,387,920.00%,380.00%,2368.0,162.0,734.0,702.0,42.4,1621.0,2464.0,65.0,98.0,49.0,3291.0,1249.0,511.0,921.0,2740.0,568.0
Hamilton Lauraville,270600,24510270600,"5,170",$71847.00,$30193.00,351,680.00%,860.00%,2790.0,444.0,950.0,581.0,36.2,1588.0,3423.0,159.0,40.0,0.0,4324.0,1443.0,374.0,961.0,3667.0,542.0
Pimlico,270702,24510270702,"1,912",$55285.00,$40455.00,144,750.00%,460.00%,1116.0,87.0,433.0,209.0,41.8,533.0,1287.0,79.0,31.0,13.0,958.0,385.0,507.0,285.0,1397.0,230.0
Waverly,270703,24510270703,"2,996",$67895.00,$35171.00,232,770.00%,290.00%,1794.0,87.0,520.0,509.0,44.5,1605.0,1364.0,3.0,65.0,5.0,2060.0,751.0,417.0,496.0,2136.0,364.0
E Monument St,270802,24510270802,"5,154",$47566.00,$24265.00,951,1850.00%,740.00%,2244.0,380.0,998.0,459.0,37.2,129.0,4635.0,116.0,234.0,38.0,1852.0,785.0,1382.0,1151.0,3331.0,672.0
Penn Ave,270803,24510270803,"6,367",$50686.00,$29274.00,331,520.00%,490.00%,2874.0,310.0,1308.0,845.0,43.3,396.0,5675.0,122.0,35.0,123.0,3025.0,1030.0,1908.0,1169.0,3928.0,1270.0
Waverly,270804,24510270804,"2,990",$55750.00,$39424.00,386,1290.00%,230.00%,1964.0,70.0,430.0,492.0,41.0,1672.0,1179.0,24.0,410.0,115.0,1212.0,573.0,787.0,319.0,2248.0,423.0
Hampden,270805,24510270805,"5,584",$58441.00,$30218.00,579,1040.00%,520.00%,2781.0,290.0,1210.0,588.0,37.3,628.0,4632.0,176.0,147.0,74.0,4065.0,1514.0,458.0,1225.0,3518.0,841.0
Pigtown,270901,24510270901,"4,525",$53120.00,$33585.00,289,640.00%,380.00%,2396.0,170.0,1341.0,192.0,34.3,200.0,4157.0,168.0,127.0,0.0,2467.0,888.0,824.0,878.0,2953.0,694.0
