Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Year
Pigtown,210100,24510210100,2532.0,63558.0,30254.0,433.0,17.1,8.1,1442.0,206.0,275.0,435.0,31.1,743.0,1683.0,23.0,38.0,70.0,787.0,398.0,569.0,511.0,1862.0,159.0,2020
Pigtown,210200,24510210200,3493.0,41037.0,27955.0,1043.0,29.9,6.1,1617.0,214.0,533.0,451.0,33.8,1277.0,1674.0,237.0,299.0,103.0,1736.0,677.0,659.0,751.0,2432.0,310.0,2020
Park Heights,230100,24510230100,1828.0,71287.0,43238.0,290.0,15.9,3.1,1111.0,56.0,183.0,449.0,30.1,1210.0,540.0,13.0,60.0,39.0,735.0,315.0,486.0,302.0,1431.0,95.0,2020
Hamilton Lauraville,230200,24510230200,2044.0,109286.0,61252.0,183.0,9.0,0.9,1484.0,18.0,82.0,607.0,30.8,1773.0,137.0,69.0,154.0,65.0,972.0,465.0,489.0,191.0,1653.0,200.0,2020
Penn Ave,240100,24510240100,3289.0,129508.0,80899.0,135.0,4.1,1.3,2338.0,42.0,132.0,1102.0,33.6,3005.0,90.0,17.0,87.0,99.0,2138.0,1027.0,586.0,484.0,2615.0,190.0,2020
Irvington,240400,24510240400,2669.0,103250.0,51469.0,55.0,2.1,1.6,1840.0,42.0,275.0,820.0,30.8,2580.0,11.0,21.0,110.0,21.0,1536.0,695.0,444.0,308.0,2159.0,202.0,2020
Penn Ave,250102,24510250102,3236.0,42922.0,21193.0,522.0,16.1,5.8,1728.0,189.0,449.0,120.0,33.4,199.0,2990.0,33.0,78.0,14.0,1278.0,519.0,712.0,772.0,2114.0,350.0,2020
Highlandtown,250103,24510250103,3411.0,39412.0,25611.0,661.0,19.4,2.9,1477.0,99.0,861.0,201.0,45.4,1959.0,1133.0,121.0,115.0,145.0,1793.0,739.0,815.0,499.0,2125.0,787.0,2020
Hampden,250203,24510250203,1978.0,37639.0,19929.0,377.0,19.1,2.3,754.0,45.0,409.0,138.0,32.6,265.0,1602.0,0.0,81.0,60.0,485.0,226.0,498.0,621.0,1119.0,238.0,2020
Pigtown,250301,24510250301,2355.0,23452.0,15192.0,931.0,39.5,6.2,640.0,146.0,465.0,39.0,28.5,293.0,2062.0,0.0,146.0,0.0,643.0,254.0,564.0,838.0,1304.0,213.0,2020
Brooklyn,250401,24510250401,3605.0,39747.0,21435.0,935.0,25.9,5.0,1457.0,181.0,763.0,206.0,35.3,2089.0,937.0,124.0,637.0,278.0,1628.0,455.0,702.0,839.0,2447.0,319.0,2020
Brooklyn,250402,24510250402,4451.0,50526.0,22112.0,1175.0,26.4,5.2,1869.0,233.0,1088.0,184.0,33.3,1683.0,1994.0,314.0,631.0,0.0,1808.0,607.0,929.0,1261.0,2956.0,234.0,2020
Pimlico,260102,24510260102,4625.0,55931.0,24767.0,354.0,7.7,4.1,2171.0,191.0,1157.0,303.0,40.0,517.0,4034.0,23.0,76.0,51.0,3569.0,1325.0,288.0,1015.0,3029.0,581.0,2020
Irvington,260201,24510260201,5699.0,36283.0,20067.0,870.0,15.3,1.2,2753.0,68.0,1374.0,600.0,35.9,814.0,4739.0,0.0,44.0,146.0,1714.0,698.0,1609.0,977.0,4134.0,588.0,2020
Belair Rd,260301,24510260301,4880.0,43951.0,16972.0,1630.0,33.4,5.6,1816.0,273.0,782.0,202.0,27.4,290.0,4407.0,160.0,10.0,0.0,2360.0,928.0,645.0,1713.0,2847.0,320.0,2020
Belair Rd,260302,24510260302,6986.0,33920.0,16206.0,2332.0,33.4,7.2,2329.0,506.0,1734.0,570.0,36.3,380.0,6433.0,41.0,186.0,0.0,3735.0,1463.0,1069.0,1821.0,4401.0,764.0,2020
Hamilton Lauraville,260303,24510260303,912.0,17125.0,18026.0,330.0,36.2,5.0,278.0,46.0,197.0,37.0,40.3,232.0,623.0,29.0,38.0,0.0,241.0,104.0,312.0,214.0,624.0,74.0,2020
Hamilton Lauraville,260401,24510260401,3710.0,35750.0,16463.0,910.0,24.5,5.7,1417.0,211.0,674.0,145.0,31.9,2590.0,418.0,212.0,1403.0,83.0,1974.0,695.0,588.0,1307.0,2063.0,340.0,2020
E Monument St,260402,24510260402,3238.0,41113.0,19115.0,826.0,25.5,4.8,1432.0,157.0,628.0,235.0,33.9,135.0,2928.0,103.0,0.0,0.0,1431.0,410.0,817.0,896.0,2080.0,262.0,2020
Highlandtown,260403,24510260403,1681.0,32143.0,21159.0,471.0,28.0,3.2,818.0,53.0,381.0,130.0,27.5,141.0,1540.0,0.0,0.0,0.0,390.0,131.0,567.0,557.0,993.0,131.0,2020
Greektown,260501,24510260501,5509.0,56038.0,23693.0,627.0,11.4,2.4,2763.0,131.0,1073.0,394.0,35.8,3395.0,624.0,265.0,1742.0,166.0,2496.0,1038.0,813.0,1230.0,3365.0,914.0,2020
Pimlico,260605,24510260605,4685.0,42052.0,20386.0,1395.0,29.8,4.9,1720.0,231.0,850.0,245.0,36.1,2985.0,812.0,188.0,1545.0,54.0,2505.0,910.0,798.0,1397.0,2704.0,584.0,2020
Greektown,260700,24510260700,2884.0,59479.0,27921.0,437.0,15.2,1.3,1483.0,38.0,308.0,343.0,31.0,1965.0,68.0,268.0,1295.0,24.0,1252.0,587.0,333.0,821.0,1894.0,169.0,2020
Highlandtown,260800,24510260800,2527.0,41974.0,26514.0,514.0,20.3,1.8,1238.0,46.0,441.0,273.0,34.8,1858.0,448.0,13.0,1129.0,29.0,953.0,426.0,600.0,581.0,1686.0,260.0,2020
Highlandtown,260900,24510260900,3139.0,104342.0,61039.0,226.0,7.2,1.6,2317.0,49.0,259.0,1059.0,32.4,2698.0,254.0,111.0,137.0,66.0,1490.0,680.0,874.0,320.0,2541.0,278.0,2020
Highlandtown,261000,24510261000,2803.0,51908.0,24456.0,1031.0,36.8,2.5,1223.0,70.0,370.0,147.0,33.1,1523.0,931.0,249.0,593.0,0.0,1619.0,581.0,418.0,848.0,1637.0,318.0,2020
Highlandtown,261100,24510261100,1792.0,121000.0,63780.0,136.0,7.6,4.2,1363.0,76.0,140.0,621.0,31.4,1574.0,114.0,37.0,52.0,55.0,1312.0,637.0,207.0,173.0,1518.0,101.0,2020
Hamilton Lauraville,270200,24510270200,1882.0,74236.0,34164.0,157.0,8.3,5.3,1045.0,100.0,226.0,309.0,41.0,947.0,776.0,102.0,65.0,7.0,1377.0,497.0,212.0,394.0,1267.0,221.0,2020
Hamilton Lauraville,270301,24510270301,3173.0,65223.0,30169.0,329.0,10.4,2.9,1484.0,92.0,536.0,544.0,43.0,1113.0,1925.0,35.0,154.0,58.0,2128.0,923.0,224.0,624.0,2057.0,492.0,2020
Hamilton Lauraville,270302,24510270302,1916.0,73967.0,34028.0,307.0,16.0,4.9,925.0,94.0,452.0,170.0,43.6,980.0,840.0,29.0,127.0,5.0,1397.0,480.0,185.0,336.0,1290.0,290.0,2020
Hamilton Lauraville,270401,24510270401,5625.0,65098.0,33153.0,421.0,7.5,1.7,2935.0,97.0,1179.0,655.0,39.0,1692.0,3585.0,321.0,64.0,27.0,4198.0,1606.0,462.0,1450.0,3687.0,488.0,2020
Hamilton Lauraville,270402,24510270402,3611.0,79833.0,27621.0,215.0,6.0,1.9,1691.0,68.0,483.0,469.0,35.5,1204.0,2213.0,130.0,87.0,63.0,3161.0,957.0,187.0,1052.0,2169.0,390.0,2020
Waverly,270502,24510270502,4261.0,69500.0,40502.0,463.0,10.9,5.2,2325.0,221.0,751.0,749.0,43.4,1690.0,2437.0,44.0,48.0,68.0,3258.0,1244.0,566.0,921.0,2822.0,518.0,2020
Hamilton Lauraville,270600,24510270600,4980.0,59375.0,28365.0,598.0,12.0,5.2,2571.0,257.0,911.0,562.0,37.4,1890.0,2950.0,140.0,38.0,0.0,3985.0,1455.0,377.0,1044.0,3275.0,661.0,2020
Pimlico,270702,24510270702,1955.0,53532.0,37004.0,147.0,7.5,5.3,1088.0,103.0,398.0,187.0,41.3,569.0,1300.0,80.0,35.0,6.0,921.0,393.0,509.0,350.0,1360.0,245.0,2020
Waverly,270703,24510270703,2629.0,61199.0,34521.0,247.0,9.4,2.3,1654.0,60.0,457.0,558.0,44.2,1594.0,967.0,4.0,99.0,12.0,1814.0,729.0,374.0,394.0,1944.0,291.0,2020
E Monument St,270802,24510270802,5205.0,50354.0,24120.0,730.0,14.0,4.9,2481.0,255.0,1382.0,289.0,37.9,173.0,4611.0,122.0,263.0,34.0,1858.0,846.0,1326.0,1201.0,3233.0,771.0,2020
Penn Ave,270803,24510270803,6846.0,51510.0,27601.0,396.0,5.8,4.7,2994.0,323.0,1370.0,768.0,38.8,577.0,6057.0,87.0,65.0,82.0,3358.0,1064.0,1865.0,1459.0,4134.0,1253.0,2020
Waverly,270804,24510270804,3109.0,56903.0,39798.0,288.0,9.3,4.7,2155.0,147.0,525.0,405.0,40.6,1506.0,1479.0,32.0,435.0,92.0,1225.0,615.0,829.0,377.0,2352.0,380.0,2020
Hampden,270805,24510270805,5312.0,54139.0,27431.0,643.0,12.1,7.4,2302.0,393.0,1017.0,591.0,38.5,565.0,4425.0,160.0,187.0,78.0,3770.0,1370.0,464.0,1264.0,3227.0,821.0,2020
Pigtown,270901,24510270901,4348.0,52803.0,28756.0,323.0,7.4,4.2,2258.0,181.0,1107.0,194.0,34.4,121.0,4090.0,137.0,130.0,0.0,2458.0,881.0,815.0,835.0,2786.0,727.0,2020
Belair Rd,270902,24510270902,5363.0,57356.0,19651.0,435.0,8.1,5.9,2149.0,319.0,972.0,472.0,26.7,264.0,4790.0,169.0,92.0,37.0,3145.0,1217.0,208.0,769.0,3663.0,931.0,2020
Penn Ave,270903,24510270903,4810.0,48611.0,18188.0,434.0,9.0,3.3,1677.0,160.0,385.0,369.0,22.3,939.0,3510.0,218.0,518.0,100.0,1435.0,681.0,537.0,506.0,3902.0,402.0,2020
Hamilton Lauraville,271002,24510271002,4203.0,37232.0,20695.0,1501.0,35.7,6.6,1395.0,279.0,753.0,386.0,37.8,137.0,3984.0,76.0,97.0,0.0,2741.0,1050.0,464.0,1196.0,2223.0,784.0,2020
Highlandtown,271101,24510271101,2001.0,55820.0,38391.0,394.0,19.7,3.4,998.0,69.0,243.0,331.0,38.7,1056.0,643.0,66.0,22.0,203.0,933.0,366.0,511.0,327.0,1401.0,273.0,2020
Hampden,271102,24510271102,4505.0,213200.0,32299.0,34.0,0.8,1.0,1267.0,43.0,73.0,245.0,20.7,2883.0,929.0,325.0,204.0,264.0,1156.0,442.0,0.0,260.0,3984.0,261.0,2020
E Monument St,271200,24510271200,6434.0,148788.0,70976.0,308.0,4.8,1.4,3281.0,90.0,453.0,1179.0,41.1,5104.0,841.0,112.0,109.0,377.0,5382.0,1839.0,359.0,1662.0,3800.0,972.0,2020
Greektown,271300,24510271300,2575.0,154432.0,92510.0,54.0,2.1,0.4,1470.0,11.0,45.0,660.0,42.8,2233.0,156.0,30.0,70.0,130.0,1923.0,727.0,334.0,577.0,1481.0,517.0,2020
Hamilton Lauraville,271400,24510271400,4040.0,122344.0,66979.0,257.0,6.4,1.6,1911.0,66.0,149.0,575.0,37.2,3147.0,268.0,166.0,286.0,365.0,2583.0,978.0,446.0,870.0,2453.0,717.0,2020
Belair Rd,271501,24510271501,4162.0,100167.0,54731.0,298.0,7.2,2.7,2247.0,112.0,174.0,819.0,38.8,3278.0,604.0,81.0,239.0,146.0,3027.0,1117.0,631.0,1058.0,2424.0,680.0,2020
E Monument St,271503,24510271503,850.0,71875.0,79787.0,45.0,5.3,1.8,405.0,15.0,57.0,272.0,64.0,738.0,34.0,24.0,29.0,35.0,728.0,544.0,100.0,25.0,416.0,409.0,2020
Park Heights,271600,24510271600,4310.0,28133.0,17866.0,1447.0,33.6,8.7,1246.0,374.0,1253.0,210.0,38.6,117.0,4115.0,22.0,40.0,56.0,1752.0,551.0,955.0,844.0,2686.0,780.0,2020
Pimlico,271700,24510271700,4813.0,41891.0,21920.0,868.0,18.0,8.0,1686.0,387.0,1366.0,213.0,50.6,221.0,4523.0,24.0,20.0,45.0,2587.0,849.0,900.0,675.0,2795.0,1343.0,2020
Pimlico,271801,24510271801,2902.0,30462.0,22668.0,914.0,31.5,8.8,1081.0,256.0,721.0,112.0,46.1,37.0,2738.0,49.0,41.0,11.0,1663.0,661.0,571.0,435.0,1735.0,732.0,2020
Pimlico,271802,24510271802,2567.0,29495.0,14449.0,929.0,36.2,3.2,869.0,81.0,738.0,108.0,41.9,15.0,2492.0,41.0,23.0,0.0,846.0,374.0,539.0,597.0,1564.0,406.0,2020
Pimlico,271900,24510271900,3815.0,51736.0,32143.0,612.0,16.0,3.8,1519.0,146.0,717.0,689.0,47.1,950.0,2802.0,10.0,0.0,44.0,2835.0,1036.0,423.0,718.0,2196.0,901.0,2020
Penn Ave,280101,24510280101,3869.0,47440.0,24073.0,1086.0,28.1,5.6,1662.0,215.0,975.0,268.0,37.5,266.0,3496.0,57.0,141.0,19.0,1644.0,627.0,676.0,973.0,2495.0,401.0,2020
Highlandtown,280102,24510280102,6177.0,55243.0,24191.0,869.0,14.1,3.9,2126.0,241.0,1280.0,917.0,51.2,162.0,6015.0,0.0,93.0,0.0,4187.0,1535.0,888.0,1173.0,3562.0,1442.0,2020
Waverly,280302,24510280302,2464.0,43438.0,25487.0,438.0,17.8,4.5,1207.0,112.0,584.0,187.0,31.9,96.0,2193.0,168.0,14.0,7.0,869.0,309.0,690.0,619.0,1578.0,267.0,2020
Pimlico,280401,24510280401,3479.0,46139.0,28736.0,456.0,13.1,3.1,1608.0,107.0,557.0,515.0,46.0,590.0,2722.0,132.0,62.0,16.0,2222.0,923.0,596.0,676.0,2220.0,583.0,2020
Pigtown,280402,24510280402,1634.0,48276.0,22145.0,219.0,13.4,6.9,752.0,113.0,392.0,118.0,41.6,2.0,1567.0,1.0,24.0,0.0,1111.0,446.0,158.0,256.0,1057.0,321.0,2020
Belair Rd,280403,24510280403,5264.0,62945.0,37610.0,294.0,5.6,3.9,2801.0,203.0,874.0,377.0,35.1,1293.0,3848.0,56.0,136.0,37.0,2310.0,881.0,1259.0,1199.0,3409.0,656.0,2020
E Monument St,280404,24510280404,2812.0,37292.0,21545.0,737.0,26.2,4.5,1200.0,127.0,706.0,106.0,31.9,107.0,2551.0,154.0,114.0,0.0,1244.0,390.0,655.0,654.0,1746.0,412.0,2020
