Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Year
Waverly,110100,24510110100,3141.0,55216.0,45165.0,403.0,12.8,1.3,2686.0,41.0,72.0,1211.0,29.8,1785.0,795.0,158.0,171.0,372.0,526.0,316.0,1683.0,62.0,2952.0,127.0,2018
Penn Ave,110200,24510110200,5706.0,45406.0,46233.0,1072.0,18.8,2.6,3854.0,149.0,268.0,1479.0,32.4,3533.0,1143.0,452.0,319.0,373.0,1044.0,522.0,3213.0,157.0,4647.0,902.0,2018
Park Heights,120100,24510120100,4643.0,65313.0,64313.0,884.0,19.0,4.0,2169.0,188.0,227.0,938.0,40.2,2798.0,438.0,242.0,275.0,1056.0,2498.0,1183.0,1157.0,508.0,2959.0,1176.0,2018
Waverly,120201,24510120201,2217.0,82917.0,49593.0,345.0,15.6,2.8,1347.0,62.0,68.0,547.0,31.2,1603.0,404.0,102.0,75.0,95.0,1106.0,490.0,353.0,289.0,1731.0,197.0,2018
Waverly,120202,24510120202,5975.0,36435.0,16907.0,1078.0,18.0,2.9,2271.0,173.0,60.0,804.0,21.5,3361.0,633.0,402.0,444.0,1485.0,673.0,313.0,1325.0,159.0,5626.0,190.0,2018
Waverly,120300,24510120300,4220.0,52857.0,30352.0,1095.0,25.9,5.3,2290.0,223.0,508.0,772.0,33.0,1547.0,2139.0,293.0,126.0,187.0,1797.0,636.0,994.0,722.0,3252.0,246.0,2018
Penn Ave,120400,24510120400,1743.0,38507.0,27496.0,630.0,36.1,3.9,756.0,68.0,291.0,193.0,31.3,434.0,1283.0,0.0,60.0,12.0,448.0,190.0,477.0,415.0,1210.0,118.0,2018
Penn Ave,120700,24510120700,2259.0,65068.0,35757.0,183.0,8.1,8.1,1399.0,183.0,498.0,429.0,34.9,1633.0,471.0,47.0,159.0,64.0,1186.0,580.0,458.0,250.0,1868.0,141.0,2018
E Monument St,130100,24510130100,2728.0,24639.0,25898.0,980.0,35.9,4.2,1181.0,114.0,525.0,324.0,39.7,441.0,2145.0,79.0,64.0,1.0,773.0,300.0,1159.0,411.0,1978.0,339.0,2018
Penn Ave,130300,24510130300,2447.0,35952.0,19624.0,882.0,36.0,4.5,796.0,111.0,479.0,187.0,34.3,117.0,2292.0,0.0,13.0,38.0,1040.0,359.0,447.0,788.0,1382.0,277.0,2018
Brooklyn,130400,24510130400,2056.0,28750.0,18544.0,734.0,35.7,6.9,737.0,141.0,561.0,114.0,39.2,139.0,1817.0,0.0,82.0,7.0,847.0,311.0,466.0,472.0,1394.0,190.0,2018
Hampden,130600,24510130600,3578.0,95500.0,51361.0,423.0,11.8,2.0,2588.0,71.0,175.0,1080.0,33.8,3073.0,255.0,104.0,98.0,130.0,2113.0,977.0,661.0,349.0,2999.0,230.0,2018
Hampden,130700,24510130700,4757.0,58815.0,45502.0,369.0,7.8,2.4,2709.0,113.0,596.0,1073.0,38.2,4151.0,259.0,115.0,183.0,216.0,2430.0,1130.0,1315.0,555.0,2953.0,1249.0,2018
Hampden,130804,24510130804,1982.0,67019.0,39191.0,290.0,14.6,5.0,1325.0,99.0,226.0,422.0,32.4,1784.0,150.0,0.0,66.0,38.0,1025.0,473.0,434.0,249.0,1580.0,153.0,2018
Penn Ave,140200,24510140200,2467.0,28000.0,14858.0,1080.0,43.8,2.3,811.0,57.0,314.0,81.0,22.0,130.0,2285.0,52.0,15.0,0.0,660.0,175.0,607.0,1068.0,1166.0,233.0,2018
Penn Ave,140300,24510140300,2353.0,38194.0,21930.0,735.0,31.2,2.1,959.0,49.0,522.0,119.0,34.0,111.0,2136.0,27.0,37.0,39.0,796.0,292.0,639.0,623.0,1407.0,323.0,2018
Penn Ave,150100,24510150100,2192.0,17346.0,17457.0,1113.0,50.8,6.8,631.0,150.0,484.0,51.0,40.2,29.0,2103.0,34.0,0.0,26.0,1084.0,343.0,605.0,518.0,1291.0,383.0,2018
Pigtown,150400,24510150400,3983.0,35479.0,14726.0,715.0,18.0,5.1,1514.0,205.0,732.0,240.0,32.9,27.0,3775.0,125.0,30.0,36.0,1075.0,400.0,820.0,539.0,2851.0,593.0,2018
North Ave,150600,24510150600,3129.0,30529.0,16389.0,1217.0,38.9,11.4,1142.0,358.0,577.0,71.0,36.5,105.0,2997.0,27.0,0.0,0.0,1222.0,339.0,666.0,662.0,2117.0,350.0,2018
North Ave,150702,24510150702,2164.0,41471.0,25251.0,522.0,24.1,5.8,869.0,125.0,511.0,297.0,41.1,22.0,2086.0,48.0,2.0,0.0,1289.0,565.0,261.0,384.0,1413.0,367.0,2018
